   PID TTY          TIME CMD            
     1 ?        00:00:26 init
     2 ?        00:00:00 kthreadd
     3 ?        00:00:00 rcu_gp
     4 ?        00:00:00 rcu_par_gp
     6 ?        00:00:00 kworker/0:0H-events_highpri
     8 ?        00:00:00 mm_percpu_wq
     9 ?        00:00:00 rcu_tasks_rude_
    10 ?        00:00:31 ksoftirqd/0
    11 ?        00:01:44 rcu_sched
    12 ?        00:00:01 migration/0
    14 ?        00:00:00 cpuhp/0
    15 ?        00:00:00 cpuhp/1
    16 ?        00:00:01 migration/1
    17 ?        00:00:10 ksoftirqd/1
    19 ?        00:00:00 kworker/1:0H-kblockd
    20 ?        00:00:00 cpuhp/2
    21 ?        00:00:02 migration/2
    22 ?        00:00:09 ksoftirqd/2
    24 ?        00:00:00 kworker/2:0H-kblockd
    25 ?        00:00:00 cpuhp/3
    26 ?        00:00:01 migration/3
    27 ?        00:00:10 ksoftirqd/3
    29 ?        00:00:00 kworker/3:0H-kblockd
    30 ?        00:00:00 kdevtmpfs
    31 ?        00:00:00 netns
    32 ?        00:22:52 kauditd
    33 ?        00:00:00 khungtaskd
    34 ?        00:00:00 oom_reaper
    35 ?        00:00:00 writeback
    36 ?        00:00:07 kcompactd0
    62 ?        00:00:00 kblockd
    63 ?        00:00:00 ata_sff
    64 ?        00:00:00 devfreq_wq
    65 ?        00:00:00 watchdogd
    66 ?        00:00:00 rpciod
    67 ?        00:00:09 kworker/0:1H-kblockd
    68 ?        00:00:00 kworker/u9:0
    69 ?        00:00:00 xprtiod
    70 ?        00:00:00 cfg80211
    71 ?        00:00:00 kswapd0
    72 ?        00:00:36 snapshotd
    73 ?        00:00:00 zswapd0
    74 ?        00:00:00 nfsiod
    77 ?        00:00:00 ipv6_addrconf
    79 ?        00:00:36 cache_freed
    85 ?        00:00:00 ext4-rsv-conver
    86 ?        00:00:00 ext4-rsv-conver
    87 ?        00:00:00 ext4-rsv-conver
    90 ?        00:00:07 kworker/3:1H-kblockd
    92 ?        00:00:07 kworker/2:1H-kblockd
